date,nofu,stumpage_price
2016-02-28,715574.0,54.55
2016-03-06,701058.0,54.74
2016-03-13,836499.0,54.82
2016-03-20,807482.0,55.03
2016-03-27,774103.0,55.06
2016-04-03,659197.0,55.1
2016-04-10,982130.0,55.29
2016-04-17,1268901.0,55.33
2016-04-24,1148597.0,55.54
2016-05-01,1245033.0,55.59
2016-05-08,1378845.0,55.78
2016-05-15,1409949.0,56.05
2016-05-22,1475226.0,56.1
2016-05-29,1443966.0,56.14
2016-06-05,1535729.0,56.23
2016-06-12,1279162.0,56.31
2016-06-19,956398.0,56.45
2016-06-26,761589.0,56.51
2016-07-03,960481.0,56.49
2016-07-10,839489.0,56.32
2016-07-17,490758.0,56.17
2016-07-24,346906.0,56.15
2016-07-31,372283.0,56.1
2016-08-07,580467.0,56.12
2016-08-14,767933.0,56.04
2016-08-21,1076990.0,56.27
2016-08-28,1111125.0,56.12
2016-09-04,1355532.0,56.07
2016-09-11,1617239.0,55.99
2016-09-18,1275981.0,56.0
2016-09-25,1248498.0,56.09
2016-10-02,1239689.0,56.25
2016-10-09,1307360.0,56.33
2016-10-16,1644428.0,56.35
2016-10-23,1244423.0,56.37
2016-10-30,1511318.0,56.41
2016-11-06,518482.0,56.5
2016-11-13,1663831.0,56.57
2016-11-20,1823742.0,56.66
2016-11-27,1120965.0,56.68
2016-12-04,1171955.0,56.61
2016-12-11,1676001.0,56.59
2016-12-18,1001867.0,56.62
2016-12-25,797499.0,56.65
2017-01-01,393722.0,56.79
2017-01-08,919503.0,
2017-01-15,1351871.0,56.57
2017-01-22,1393382.0,56.78
2017-01-29,1280770.0,56.86
2017-02-05,1191919.0,57.01
2017-02-12,1262569.0,57.27
2017-02-19,1027603.0,57.32
2017-02-26,973320.0,57.34
2017-03-05,759895.0,57.39
2017-03-12,1084214.0,57.47
2017-03-19,1038764.0,57.57
2017-03-26,958427.0,57.59
2017-04-02,903062.0,57.69
2017-04-09,969250.0,57.82
2017-04-16,930806.0,57.83
2017-04-23,840572.0,57.99
2017-04-30,1732332.0,58.19
2017-05-07,976447.0,58.26
2017-05-14,1369445.0,58.45
2017-05-21,1267246.0,58.55
2017-05-28,957668.0,58.67
2017-06-04,1502565.0,58.82
2017-06-11,1225222.0,58.78
2017-06-18,1002776.0,58.64
2017-06-25,829402.0,58.65
2017-07-02,1058511.0,58.36
2017-07-09,651234.0,58.42
2017-07-16,515869.0,58.43
2017-07-23,323601.0,58.49
2017-07-30,309145.0,58.54
2017-08-06,589708.0,58.13
2017-08-13,804629.0,57.68
2017-08-20,954388.0,57.73
2017-08-27,1158569.0,57.95
2017-09-03,1244894.0,58.21
2017-09-10,1742804.0,58.3
2017-09-17,1277901.0,58.55
2017-09-24,1251355.0,58.74
2017-10-01,1484824.0,58.86
2017-10-08,1540424.0,59.08
2017-10-15,1451104.0,59.1
2017-10-22,1328668.0,59.11
2017-10-29,1322113.0,59.17
2017-11-05,1507766.0,59.5
2017-11-12,1729432.0,59.64
2017-11-19,1518118.0,59.81
2017-11-26,1571011.0,59.91
2017-12-03,1444337.0,60.01
2017-12-10,1096711.0,60.14
2017-12-17,1973033.0,60.24
2017-12-24,1129182.0,60.39
2017-12-31,309597.0,60.48
2018-01-07,809567.0,
2018-01-14,1402756.0,60.58
2018-01-21,1286101.0,60.62
2018-01-28,1130560.0,60.75
2018-02-04,1109733.0,60.9
2018-02-11,1073049.0,61.05
2018-02-18,868612.0,61.27
2018-02-25,1086780.0,61.34
2018-03-04,862359.0,61.38
2018-03-11,859224.0,61.77
2018-03-18,1170669.0,61.86
2018-03-25,950288.0,62.05
2018-04-01,736738.0,62.37
2018-04-08,1903990.0,62.63
2018-04-15,1170672.0,62.99
2018-04-22,1241070.0,63.5
2018-04-29,1401795.0,63.78
2018-05-06,1030035.0,64.08
2018-05-13,1896428.0,64.37
2018-05-20,1685305.0,64.87
2018-05-27,1851288.0,65.45
2018-06-03,2440229.0,65.77
2018-06-10,2322515.0,66.1
2018-06-17,1666892.0,66.38
2018-06-24,1415932.0,66.67
2018-07-01,1143784.0,66.91
2018-07-08,1187086.0,66.98
2018-07-15,753845.0,66.86
2018-07-22,485977.0,66.93
2018-07-29,458013.0,66.79
2018-08-05,675945.0,66.5
2018-08-12,1168371.0,66.6
2018-08-19,1152028.0,66.1
2018-08-26,1157766.0,66.19
2018-09-02,1273636.0,66.22
2018-09-09,1897623.0,66.23
2018-09-16,1378439.0,66.49
2018-09-23,1355070.0,66.55
2018-09-30,1574149.0,66.82
2018-10-07,1506830.0,66.87
2018-10-14,1631767.0,67.11
2018-10-21,1423135.0,67.17
2018-10-28,1492556.0,67.21
2018-11-04,1757269.0,67.25
2018-11-11,1772871.0,67.17
2018-11-18,1517062.0,67.25
2018-11-25,1703037.0,67.38
2018-12-02,2016926.0,67.55
2018-12-09,1454007.0,67.83
2018-12-16,1959344.0,67.72
2018-12-23,1482871.0,67.44
2018-12-30,230949.0,67.26
2019-01-13,764545.0,
2019-01-20,1308964.0,65.39
2019-01-27,1171936.0,64.89
2019-02-03,1059885.0,64.88
2019-02-10,948247.0,64.67
2019-02-17,847940.0,64.21
2019-02-24,684217.0,64.04
2019-03-03,604532.0,63.74
2019-03-10,560951.0,63.57
2019-03-17,711645.0,63.17
2019-03-24,937616.0,62.98
2019-03-31,697849.0,62.45
2019-04-07,896899.0,61.97
2019-04-14,917110.0,61.69
2019-04-21,1206145.0,61.47
2019-04-28,739785.0,61.47
2019-05-05,711618.0,61.48
2019-05-12,732055.0,61.5
2019-05-19,1391085.0,61.36
2019-05-26,1265526.0,61.16
2019-06-02,911560.0,60.98
2019-06-09,1033178.0,61.06
2019-06-16,1199890.0,61.06
2019-06-23,856059.0,61.04
2019-06-30,742203.0,61.1
2019-07-07,796974.0,60.74
2019-07-14,622463.0,60.48
2019-07-21,435939.0,60.39
2019-07-28,342150.0,60.31
2019-08-04,318299.0,60.44
2019-08-11,510239.0,60.77
2019-08-18,950754.0,61.24
2019-08-25,668349.0,61.28
2019-09-01,897700.0,61.15
